,index,Compound Score,Negative Score,Neutral Score,Postive Score,Tweet Time,Tweets Ago,Username,converted_time,date,days_ago
0,0,-0.7003,0.29,0.621,0.09,Tue Apr 10 20:40:04 +0000 2018,1,@nytimes,2018-04-10 20:40:04+00:00,2018-04-10,0
1,1,-0.0772,0.071,0.929,0.0,Tue Apr 10 20:19:44 +0000 2018,2,@nytimes,2018-04-10 20:19:44+00:00,2018-04-10,0
2,2,0.4404,0.0,0.868,0.132,Tue Apr 10 20:17:07 +0000 2018,3,@nytimes,2018-04-10 20:17:07+00:00,2018-04-10,0
3,3,-0.3182,0.148,0.759,0.093,Tue Apr 10 20:10:07 +0000 2018,4,@nytimes,2018-04-10 20:10:07+00:00,2018-04-10,0
4,4,0.0,0.0,1.0,0.0,Tue Apr 10 20:03:41 +0000 2018,5,@nytimes,2018-04-10 20:03:41+00:00,2018-04-10,0
5,5,-0.1779,0.166,0.655,0.179,Tue Apr 10 19:55:03 +0000 2018,6,@nytimes,2018-04-10 19:55:03+00:00,2018-04-10,0
6,6,-0.6705,0.244,0.756,0.0,Tue Apr 10 19:45:50 +0000 2018,7,@nytimes,2018-04-10 19:45:50+00:00,2018-04-10,0
7,7,0.0,0.0,1.0,0.0,Tue Apr 10 19:40:09 +0000 2018,8,@nytimes,2018-04-10 19:40:09+00:00,2018-04-10,0
8,8,0.0,0.0,1.0,0.0,Tue Apr 10 19:30:10 +0000 2018,9,@nytimes,2018-04-10 19:30:10+00:00,2018-04-10,0
9,9,0.4404,0.0,0.822,0.178,Tue Apr 10 19:25:48 +0000 2018,10,@nytimes,2018-04-10 19:25:48+00:00,2018-04-10,0
10,10,0.5267,0.0,0.866,0.134,Tue Apr 10 19:18:09 +0000 2018,11,@nytimes,2018-04-10 19:18:09+00:00,2018-04-10,0
11,11,0.1027,0.149,0.685,0.165,Tue Apr 10 19:15:01 +0000 2018,12,@nytimes,2018-04-10 19:15:01+00:00,2018-04-10,0
12,12,0.0,0.0,1.0,0.0,Tue Apr 10 19:06:24 +0000 2018,13,@nytimes,2018-04-10 19:06:24+00:00,2018-04-10,0
13,13,0.0,0.0,1.0,0.0,Tue Apr 10 19:01:41 +0000 2018,14,@nytimes,2018-04-10 19:01:41+00:00,2018-04-10,0
14,14,-0.7003,0.244,0.756,0.0,Tue Apr 10 18:55:05 +0000 2018,15,@nytimes,2018-04-10 18:55:05+00:00,2018-04-10,0
15,15,-0.1419,0.069,0.931,0.0,Tue Apr 10 18:45:07 +0000 2018,16,@nytimes,2018-04-10 18:45:07+00:00,2018-04-10,0
16,16,-0.4019,0.163,0.837,0.0,Tue Apr 10 18:36:53 +0000 2018,17,@nytimes,2018-04-10 18:36:53+00:00,2018-04-10,0
17,17,-0.5106,0.148,0.852,0.0,Tue Apr 10 18:33:48 +0000 2018,18,@nytimes,2018-04-10 18:33:48+00:00,2018-04-10,0
18,18,-0.5719,0.228,0.684,0.087,Tue Apr 10 18:30:08 +0000 2018,19,@nytimes,2018-04-10 18:30:08+00:00,2018-04-10,0
19,19,0.0,0.0,1.0,0.0,Tue Apr 10 18:17:46 +0000 2018,20,@nytimes,2018-04-10 18:17:46+00:00,2018-04-10,0
20,20,0.4019,0.0,0.895,0.105,Tue Apr 10 18:16:12 +0000 2018,21,@nytimes,2018-04-10 18:16:12+00:00,2018-04-10,0
21,21,-0.3818,0.12,0.88,0.0,Tue Apr 10 18:10:07 +0000 2018,22,@nytimes,2018-04-10 18:10:07+00:00,2018-04-10,0
22,22,0.0258,0.0,0.948,0.052,Tue Apr 10 17:55:05 +0000 2018,23,@nytimes,2018-04-10 17:55:05+00:00,2018-04-10,0
23,23,0.0,0.0,1.0,0.0,Tue Apr 10 17:40:06 +0000 2018,24,@nytimes,2018-04-10 17:40:06+00:00,2018-04-10,0
24,24,0.0,0.0,1.0,0.0,Tue Apr 10 17:27:14 +0000 2018,25,@nytimes,2018-04-10 17:27:14+00:00,2018-04-10,0
25,25,-0.5423,0.171,0.829,0.0,Tue Apr 10 17:25:04 +0000 2018,26,@nytimes,2018-04-10 17:25:04+00:00,2018-04-10,0
26,26,-0.3182,0.169,0.725,0.106,Tue Apr 10 17:10:07 +0000 2018,27,@nytimes,2018-04-10 17:10:07+00:00,2018-04-10,0
27,27,0.0,0.0,1.0,0.0,Tue Apr 10 16:55:04 +0000 2018,28,@nytimes,2018-04-10 16:55:04+00:00,2018-04-10,0
28,28,-0.128,0.169,0.683,0.149,Tue Apr 10 16:42:59 +0000 2018,29,@nytimes,2018-04-10 16:42:59+00:00,2018-04-10,0
29,29,0.0,0.0,1.0,0.0,Tue Apr 10 16:40:09 +0000 2018,30,@nytimes,2018-04-10 16:40:09+00:00,2018-04-10,0
30,30,0.0,0.0,1.0,0.0,Tue Apr 10 16:27:20 +0000 2018,31,@nytimes,2018-04-10 16:27:20+00:00,2018-04-10,0
31,31,0.2263,0.068,0.821,0.111,Tue Apr 10 16:25:07 +0000 2018,32,@nytimes,2018-04-10 16:25:07+00:00,2018-04-10,0
32,32,0.0,0.0,1.0,0.0,Tue Apr 10 16:10:06 +0000 2018,33,@nytimes,2018-04-10 16:10:06+00:00,2018-04-10,0
33,33,0.34,0.0,0.882,0.118,Tue Apr 10 15:50:00 +0000 2018,34,@nytimes,2018-04-10 15:50:00+00:00,2018-04-10,0
34,34,-0.4767,0.204,0.796,0.0,Tue Apr 10 15:40:11 +0000 2018,35,@nytimes,2018-04-10 15:40:11+00:00,2018-04-10,0
35,35,0.0,0.0,1.0,0.0,Tue Apr 10 15:30:09 +0000 2018,36,@nytimes,2018-04-10 15:30:09+00:00,2018-04-10,0
36,36,0.3612,0.0,0.878,0.122,Tue Apr 10 15:27:06 +0000 2018,37,@nytimes,2018-04-10 15:27:06+00:00,2018-04-10,0
37,37,0.3818,0.0,0.89,0.11,Tue Apr 10 15:20:09 +0000 2018,38,@nytimes,2018-04-10 15:20:09+00:00,2018-04-10,0
38,38,0.34,0.0,0.882,0.118,Tue Apr 10 15:10:08 +0000 2018,39,@nytimes,2018-04-10 15:10:08+00:00,2018-04-10,0
39,39,0.4215,0.0,0.781,0.219,Tue Apr 10 15:00:11 +0000 2018,40,@nytimes,2018-04-10 15:00:11+00:00,2018-04-10,0
40,40,-0.6486,0.193,0.807,0.0,Tue Apr 10 14:50:08 +0000 2018,41,@nytimes,2018-04-10 14:50:08+00:00,2018-04-10,0
41,41,-0.5267,0.152,0.848,0.0,Tue Apr 10 14:40:13 +0000 2018,42,@nytimes,2018-04-10 14:40:13+00:00,2018-04-10,0
42,42,0.2023,0.0,0.87,0.13,Tue Apr 10 14:30:17 +0000 2018,43,@nytimes,2018-04-10 14:30:17+00:00,2018-04-10,0
43,43,0.0,0.0,1.0,0.0,Tue Apr 10 14:15:06 +0000 2018,44,@nytimes,2018-04-10 14:15:06+00:00,2018-04-10,0
44,44,0.0,0.0,1.0,0.0,Tue Apr 10 14:00:04 +0000 2018,45,@nytimes,2018-04-10 14:00:04+00:00,2018-04-10,0
45,45,-0.296,0.115,0.885,0.0,Tue Apr 10 13:45:09 +0000 2018,46,@nytimes,2018-04-10 13:45:09+00:00,2018-04-10,0
46,46,0.0,0.0,1.0,0.0,Tue Apr 10 13:31:02 +0000 2018,47,@nytimes,2018-04-10 13:31:02+00:00,2018-04-10,0
47,47,0.4939,0.0,0.756,0.244,Tue Apr 10 13:30:18 +0000 2018,48,@nytimes,2018-04-10 13:30:18+00:00,2018-04-10,0
48,48,-0.6705,0.209,0.791,0.0,Tue Apr 10 13:21:49 +0000 2018,49,@nytimes,2018-04-10 13:21:49+00:00,2018-04-10,0
49,49,0.0,0.0,1.0,0.0,Tue Apr 10 13:00:16 +0000 2018,50,@nytimes,2018-04-10 13:00:16+00:00,2018-04-10,0
50,50,0.5267,0.045,0.821,0.134,Tue Apr 10 13:00:15 +0000 2018,51,@nytimes,2018-04-10 13:00:15+00:00,2018-04-10,0
51,51,0.6697,0.0,0.824,0.176,Tue Apr 10 12:45:08 +0000 2018,52,@nytimes,2018-04-10 12:45:08+00:00,2018-04-10,0
52,52,0.1027,0.0,0.928,0.072,Tue Apr 10 12:31:00 +0000 2018,53,@nytimes,2018-04-10 12:31:00+00:00,2018-04-10,0
53,53,0.0772,0.0,0.929,0.071,Tue Apr 10 12:30:10 +0000 2018,54,@nytimes,2018-04-10 12:30:10+00:00,2018-04-10,0
54,54,0.0,0.0,1.0,0.0,Tue Apr 10 12:15:02 +0000 2018,55,@nytimes,2018-04-10 12:15:02+00:00,2018-04-10,0
55,55,0.4939,0.0,0.792,0.208,Tue Apr 10 12:00:14 +0000 2018,56,@nytimes,2018-04-10 12:00:14+00:00,2018-04-10,0
56,56,-0.7184,0.25,0.75,0.0,Tue Apr 10 11:44:55 +0000 2018,57,@nytimes,2018-04-10 11:44:55+00:00,2018-04-10,0
57,57,-0.0772,0.145,0.725,0.13,Tue Apr 10 11:33:46 +0000 2018,58,@nytimes,2018-04-10 11:33:46+00:00,2018-04-10,0
58,58,0.6597,0.0,0.748,0.252,Tue Apr 10 11:15:06 +0000 2018,59,@nytimes,2018-04-10 11:15:06+00:00,2018-04-10,0
59,59,0.0,0.0,1.0,0.0,Tue Apr 10 11:00:16 +0000 2018,60,@nytimes,2018-04-10 11:00:16+00:00,2018-04-10,0
60,60,0.7184,0.0,0.739,0.261,Tue Apr 10 11:00:15 +0000 2018,61,@nytimes,2018-04-10 11:00:15+00:00,2018-04-10,0
61,61,0.3182,0.0,0.887,0.113,Tue Apr 10 11:00:06 +0000 2018,62,@nytimes,2018-04-10 11:00:06+00:00,2018-04-10,0
62,62,0.4215,0.0,0.859,0.141,Tue Apr 10 10:30:11 +0000 2018,63,@nytimes,2018-04-10 10:30:11+00:00,2018-04-10,0
63,63,0.0,0.0,1.0,0.0,Tue Apr 10 10:21:05 +0000 2018,64,@nytimes,2018-04-10 10:21:05+00:00,2018-04-10,0
64,64,0.0,0.0,1.0,0.0,Tue Apr 10 10:00:10 +0000 2018,65,@nytimes,2018-04-10 10:00:10+00:00,2018-04-10,0
65,65,0.0,0.0,1.0,0.0,Tue Apr 10 09:43:17 +0000 2018,66,@nytimes,2018-04-10 09:43:17+00:00,2018-04-10,0
66,66,-0.1531,0.195,0.682,0.123,Tue Apr 10 09:24:51 +0000 2018,67,@nytimes,2018-04-10 09:24:51+00:00,2018-04-10,0
67,67,0.0,0.0,1.0,0.0,Tue Apr 10 09:06:59 +0000 2018,68,@nytimes,2018-04-10 09:06:59+00:00,2018-04-10,0
68,68,-0.3182,0.119,0.881,0.0,Tue Apr 10 08:50:05 +0000 2018,69,@nytimes,2018-04-10 08:50:05+00:00,2018-04-10,0
69,69,0.0,0.0,1.0,0.0,Tue Apr 10 08:49:33 +0000 2018,70,@nytimes,2018-04-10 08:49:33+00:00,2018-04-10,0
70,70,0.3612,0.138,0.615,0.246,Tue Apr 10 08:45:06 +0000 2018,71,@nytimes,2018-04-10 08:45:06+00:00,2018-04-10,0
71,71,-0.1027,0.106,0.803,0.091,Tue Apr 10 08:32:42 +0000 2018,72,@nytimes,2018-04-10 08:32:42+00:00,2018-04-10,0
72,72,0.3612,0.0,0.878,0.122,Tue Apr 10 08:15:10 +0000 2018,73,@nytimes,2018-04-10 08:15:10+00:00,2018-04-10,0
73,73,0.3818,0.0,0.86,0.14,Tue Apr 10 08:15:05 +0000 2018,74,@nytimes,2018-04-10 08:15:05+00:00,2018-04-10,0
74,74,-0.4215,0.135,0.865,0.0,Tue Apr 10 08:02:02 +0000 2018,75,@nytimes,2018-04-10 08:02:02+00:00,2018-04-10,0
75,75,-0.6597,0.206,0.794,0.0,Tue Apr 10 08:00:07 +0000 2018,76,@nytimes,2018-04-10 08:00:07+00:00,2018-04-10,0
76,76,0.4215,0.0,0.865,0.135,Tue Apr 10 07:47:05 +0000 2018,77,@nytimes,2018-04-10 07:47:05+00:00,2018-04-10,0
77,77,0.0,0.0,1.0,0.0,Tue Apr 10 07:32:03 +0000 2018,78,@nytimes,2018-04-10 07:32:03+00:00,2018-04-10,0
78,78,-0.7845,0.266,0.734,0.0,Tue Apr 10 07:17:05 +0000 2018,79,@nytimes,2018-04-10 07:17:05+00:00,2018-04-10,0
79,79,0.0,0.0,1.0,0.0,Tue Apr 10 07:02:03 +0000 2018,80,@nytimes,2018-04-10 07:02:03+00:00,2018-04-10,0
80,80,0.7096,0.0,0.604,0.396,Tue Apr 10 06:53:54 +0000 2018,81,@nytimes,2018-04-10 06:53:54+00:00,2018-04-10,0
81,81,0.5719,0.0,0.829,0.171,Tue Apr 10 06:47:28 +0000 2018,82,@nytimes,2018-04-10 06:47:28+00:00,2018-04-10,0
82,82,0.0258,0.0,0.939,0.061,Tue Apr 10 06:30:16 +0000 2018,83,@nytimes,2018-04-10 06:30:16+00:00,2018-04-10,0
83,83,0.0,0.0,1.0,0.0,Tue Apr 10 06:12:49 +0000 2018,84,@nytimes,2018-04-10 06:12:49+00:00,2018-04-10,0
84,84,0.0,0.0,1.0,0.0,Tue Apr 10 05:55:31 +0000 2018,85,@nytimes,2018-04-10 05:55:31+00:00,2018-04-10,0
85,85,0.2621,0.0,0.886,0.114,Tue Apr 10 05:38:23 +0000 2018,86,@nytimes,2018-04-10 05:38:23+00:00,2018-04-10,0
86,86,0.0,0.0,1.0,0.0,Tue Apr 10 05:21:04 +0000 2018,87,@nytimes,2018-04-10 05:21:04+00:00,2018-04-10,0
87,87,-0.6808,0.384,0.616,0.0,Tue Apr 10 05:04:10 +0000 2018,88,@nytimes,2018-04-10 05:04:10+00:00,2018-04-10,0
88,88,0.0,0.0,1.0,0.0,Tue Apr 10 05:02:04 +0000 2018,89,@nytimes,2018-04-10 05:02:04+00:00,2018-04-10,0
89,89,-0.6908,0.231,0.769,0.0,Tue Apr 10 04:43:00 +0000 2018,90,@nytimes,2018-04-10 04:43:00+00:00,2018-04-10,0
90,90,-0.7351,0.383,0.617,0.0,Tue Apr 10 04:29:58 +0000 2018,91,@nytimes,2018-04-10 04:29:58+00:00,2018-04-10,0
91,91,0.0,0.0,1.0,0.0,Tue Apr 10 04:21:01 +0000 2018,92,@nytimes,2018-04-10 04:21:01+00:00,2018-04-10,0
92,92,-0.5859,0.356,0.509,0.134,Tue Apr 10 04:10:47 +0000 2018,93,@nytimes,2018-04-10 04:10:47+00:00,2018-04-10,0
93,93,0.0,0.0,1.0,0.0,Tue Apr 10 04:02:04 +0000 2018,94,@nytimes,2018-04-10 04:02:04+00:00,2018-04-10,0
94,94,0.0,0.0,1.0,0.0,Tue Apr 10 03:47:01 +0000 2018,95,@nytimes,2018-04-10 03:47:01+00:00,2018-04-10,0
95,95,-0.7964,0.323,0.677,0.0,Tue Apr 10 03:32:02 +0000 2018,96,@nytimes,2018-04-10 03:32:02+00:00,2018-04-10,0
96,96,-0.5423,0.156,0.844,0.0,Tue Apr 10 03:18:05 +0000 2018,97,@nytimes,2018-04-10 03:18:05+00:00,2018-04-10,0
97,97,0.0,0.0,1.0,0.0,Tue Apr 10 03:02:06 +0000 2018,98,@nytimes,2018-04-10 03:02:06+00:00,2018-04-10,0
98,98,0.0,0.0,1.0,0.0,Tue Apr 10 02:47:08 +0000 2018,99,@nytimes,2018-04-10 02:47:08+00:00,2018-04-10,0
99,99,-0.34,0.103,0.897,0.0,Tue Apr 10 02:41:02 +0000 2018,100,@nytimes,2018-04-10 02:41:02+00:00,2018-04-10,0
100,0,0.0,0.0,1.0,0.0,Tue Apr 10 20:25:37 +0000 2018,1,@CBSNews,2018-04-10 20:25:37+00:00,2018-04-10,0
101,1,0.0,0.0,1.0,0.0,Tue Apr 10 20:20:36 +0000 2018,2,@CBSNews,2018-04-10 20:20:36+00:00,2018-04-10,0
102,2,-0.5574,0.167,0.833,0.0,Tue Apr 10 20:18:07 +0000 2018,3,@CBSNews,2018-04-10 20:18:07+00:00,2018-04-10,0
103,3,0.0,0.0,1.0,0.0,Tue Apr 10 20:11:32 +0000 2018,4,@CBSNews,2018-04-10 20:11:32+00:00,2018-04-10,0
104,4,-0.34,0.103,0.897,0.0,Tue Apr 10 20:08:42 +0000 2018,5,@CBSNews,2018-04-10 20:08:42+00:00,2018-04-10,0
105,5,0.0,0.0,1.0,0.0,Tue Apr 10 20:06:00 +0000 2018,6,@CBSNews,2018-04-10 20:06:00+00:00,2018-04-10,0
106,6,0.7269,0.0,0.757,0.243,Tue Apr 10 20:05:28 +0000 2018,7,@CBSNews,2018-04-10 20:05:28+00:00,2018-04-10,0
107,7,0.0,0.0,1.0,0.0,Tue Apr 10 20:01:27 +0000 2018,8,@CBSNews,2018-04-10 20:01:27+00:00,2018-04-10,0
108,8,0.0,0.0,1.0,0.0,Tue Apr 10 19:55:39 +0000 2018,9,@CBSNews,2018-04-10 19:55:39+00:00,2018-04-10,0
109,9,0.3182,0.0,0.881,0.119,Tue Apr 10 19:54:19 +0000 2018,10,@CBSNews,2018-04-10 19:54:19+00:00,2018-04-10,0
110,10,0.0,0.0,1.0,0.0,Tue Apr 10 19:51:46 +0000 2018,11,@CBSNews,2018-04-10 19:51:46+00:00,2018-04-10,0
111,11,0.0,0.0,1.0,0.0,Tue Apr 10 19:50:44 +0000 2018,12,@CBSNews,2018-04-10 19:50:44+00:00,2018-04-10,0
112,12,0.0,0.0,1.0,0.0,Tue Apr 10 19:45:18 +0000 2018,13,@CBSNews,2018-04-10 19:45:18+00:00,2018-04-10,0
113,13,0.4019,0.0,0.87,0.13,Tue Apr 10 19:44:06 +0000 2018,14,@CBSNews,2018-04-10 19:44:06+00:00,2018-04-10,0
114,14,0.0,0.0,1.0,0.0,Tue Apr 10 19:41:13 +0000 2018,15,@CBSNews,2018-04-10 19:41:13+00:00,2018-04-10,0
115,15,0.0,0.0,1.0,0.0,Tue Apr 10 19:36:36 +0000 2018,16,@CBSNews,2018-04-10 19:36:36+00:00,2018-04-10,0
116,16,0.34,0.0,0.876,0.124,Tue Apr 10 19:35:56 +0000 2018,17,@CBSNews,2018-04-10 19:35:56+00:00,2018-04-10,0
117,17,0.0,0.0,1.0,0.0,Tue Apr 10 19:31:41 +0000 2018,18,@CBSNews,2018-04-10 19:31:41+00:00,2018-04-10,0
118,18,0.5106,0.0,0.852,0.148,Tue Apr 10 19:30:19 +0000 2018,19,@CBSNews,2018-04-10 19:30:19+00:00,2018-04-10,0
119,19,0.0,0.0,1.0,0.0,Tue Apr 10 19:28:13 +0000 2018,20,@CBSNews,2018-04-10 19:28:13+00:00,2018-04-10,0
120,20,0.0,0.0,1.0,0.0,Tue Apr 10 19:26:57 +0000 2018,21,@CBSNews,2018-04-10 19:26:57+00:00,2018-04-10,0
121,21,0.0772,0.0,0.933,0.067,Tue Apr 10 19:25:12 +0000 2018,22,@CBSNews,2018-04-10 19:25:12+00:00,2018-04-10,0
122,22,-0.4404,0.116,0.884,0.0,Tue Apr 10 19:23:41 +0000 2018,23,@CBSNews,2018-04-10 19:23:41+00:00,2018-04-10,0
123,23,0.2263,0.0,0.868,0.132,Tue Apr 10 19:21:56 +0000 2018,24,@CBSNews,2018-04-10 19:21:56+00:00,2018-04-10,0
124,24,-0.5719,0.144,0.856,0.0,Tue Apr 10 19:20:09 +0000 2018,25,@CBSNews,2018-04-10 19:20:09+00:00,2018-04-10,0
125,25,0.6908,0.0,0.729,0.271,Tue Apr 10 19:17:43 +0000 2018,26,@CBSNews,2018-04-10 19:17:43+00:00,2018-04-10,0
126,26,-0.2263,0.087,0.913,0.0,Tue Apr 10 19:15:30 +0000 2018,27,@CBSNews,2018-04-10 19:15:30+00:00,2018-04-10,0
127,27,0.0,0.0,1.0,0.0,Tue Apr 10 19:14:07 +0000 2018,28,@CBSNews,2018-04-10 19:14:07+00:00,2018-04-10,0
128,28,-0.4973,0.209,0.791,0.0,Tue Apr 10 19:11:34 +0000 2018,29,@CBSNews,2018-04-10 19:11:34+00:00,2018-04-10,0
129,29,0.4588,0.0,0.833,0.167,Tue Apr 10 19:07:53 +0000 2018,30,@CBSNews,2018-04-10 19:07:53+00:00,2018-04-10,0
130,30,0.0,0.0,1.0,0.0,Tue Apr 10 19:07:20 +0000 2018,31,@CBSNews,2018-04-10 19:07:20+00:00,2018-04-10,0
131,31,-0.3612,0.111,0.889,0.0,Tue Apr 10 19:04:54 +0000 2018,32,@CBSNews,2018-04-10 19:04:54+00:00,2018-04-10,0
132,32,0.3919,0.0,0.897,0.103,Tue Apr 10 19:01:29 +0000 2018,33,@CBSNews,2018-04-10 19:01:29+00:00,2018-04-10,0
133,33,0.3182,0.0,0.901,0.099,Tue Apr 10 19:00:36 +0000 2018,34,@CBSNews,2018-04-10 19:00:36+00:00,2018-04-10,0
134,34,0.0,0.0,1.0,0.0,Tue Apr 10 18:58:48 +0000 2018,35,@CBSNews,2018-04-10 18:58:48+00:00,2018-04-10,0
135,35,0.0772,0.124,0.671,0.205,Tue Apr 10 18:57:56 +0000 2018,36,@CBSNews,2018-04-10 18:57:56+00:00,2018-04-10,0
136,36,0.5994,0.0,0.731,0.269,Tue Apr 10 18:56:21 +0000 2018,37,@CBSNews,2018-04-10 18:56:21+00:00,2018-04-10,0
137,37,0.1531,0.0,0.885,0.115,Tue Apr 10 18:55:28 +0000 2018,38,@CBSNews,2018-04-10 18:55:28+00:00,2018-04-10,0
138,38,-0.2732,0.077,0.923,0.0,Tue Apr 10 18:52:42 +0000 2018,39,@CBSNews,2018-04-10 18:52:42+00:00,2018-04-10,0
139,39,0.6369,0.0,0.766,0.234,Tue Apr 10 18:48:13 +0000 2018,40,@CBSNews,2018-04-10 18:48:13+00:00,2018-04-10,0
140,40,0.25,0.0,0.909,0.091,Tue Apr 10 18:41:20 +0000 2018,41,@CBSNews,2018-04-10 18:41:20+00:00,2018-04-10,0
141,41,0.0,0.0,1.0,0.0,Tue Apr 10 18:39:08 +0000 2018,42,@CBSNews,2018-04-10 18:39:08+00:00,2018-04-10,0
142,42,0.34,0.0,0.841,0.159,Tue Apr 10 18:36:33 +0000 2018,43,@CBSNews,2018-04-10 18:36:33+00:00,2018-04-10,0
143,43,0.0,0.0,1.0,0.0,Tue Apr 10 18:30:50 +0000 2018,44,@CBSNews,2018-04-10 18:30:50+00:00,2018-04-10,0
144,44,-0.1655,0.088,0.912,0.0,Tue Apr 10 18:05:59 +0000 2018,45,@CBSNews,2018-04-10 18:05:59+00:00,2018-04-10,0
145,45,0.0,0.0,1.0,0.0,Tue Apr 10 18:03:53 +0000 2018,46,@CBSNews,2018-04-10 18:03:53+00:00,2018-04-10,0
146,46,0.0,0.0,1.0,0.0,Tue Apr 10 17:50:36 +0000 2018,47,@CBSNews,2018-04-10 17:50:36+00:00,2018-04-10,0
147,47,0.4767,0.0,0.76,0.24,Tue Apr 10 17:42:02 +0000 2018,48,@CBSNews,2018-04-10 17:42:02+00:00,2018-04-10,0
148,48,0.4767,0.0,0.86,0.14,Tue Apr 10 17:25:54 +0000 2018,49,@CBSNews,2018-04-10 17:25:54+00:00,2018-04-10,0
149,49,0.34,0.0,0.844,0.156,Tue Apr 10 17:10:01 +0000 2018,50,@CBSNews,2018-04-10 17:10:01+00:00,2018-04-10,0
150,50,0.0,0.0,1.0,0.0,Tue Apr 10 16:56:36 +0000 2018,51,@CBSNews,2018-04-10 16:56:36+00:00,2018-04-10,0
151,51,-0.5994,0.268,0.628,0.105,Tue Apr 10 16:35:01 +0000 2018,52,@CBSNews,2018-04-10 16:35:01+00:00,2018-04-10,0
152,52,-0.2732,0.116,0.884,0.0,Tue Apr 10 16:28:07 +0000 2018,53,@CBSNews,2018-04-10 16:28:07+00:00,2018-04-10,0
153,53,-0.6249,0.194,0.806,0.0,Tue Apr 10 16:22:25 +0000 2018,54,@CBSNews,2018-04-10 16:22:25+00:00,2018-04-10,0
154,54,-0.8591,0.353,0.588,0.059,Tue Apr 10 16:15:01 +0000 2018,55,@CBSNews,2018-04-10 16:15:01+00:00,2018-04-10,0
155,55,-0.7906,0.269,0.731,0.0,Tue Apr 10 16:00:02 +0000 2018,56,@CBSNews,2018-04-10 16:00:02+00:00,2018-04-10,0
156,56,0.4215,0.0,0.882,0.118,Tue Apr 10 15:45:01 +0000 2018,57,@CBSNews,2018-04-10 15:45:01+00:00,2018-04-10,0
157,57,-0.4404,0.245,0.755,0.0,Tue Apr 10 15:30:01 +0000 2018,58,@CBSNews,2018-04-10 15:30:01+00:00,2018-04-10,0
158,58,-0.1531,0.134,0.759,0.107,Tue Apr 10 15:13:04 +0000 2018,59,@CBSNews,2018-04-10 15:13:04+00:00,2018-04-10,0
159,59,0.0,0.0,1.0,0.0,Tue Apr 10 15:02:40 +0000 2018,60,@CBSNews,2018-04-10 15:02:40+00:00,2018-04-10,0
160,60,0.0,0.0,1.0,0.0,Tue Apr 10 15:00:51 +0000 2018,61,@CBSNews,2018-04-10 15:00:51+00:00,2018-04-10,0
161,61,-0.8316,0.328,0.672,0.0,Tue Apr 10 14:59:27 +0000 2018,62,@CBSNews,2018-04-10 14:59:27+00:00,2018-04-10,0
162,62,0.6486,0.0,0.725,0.275,Tue Apr 10 14:53:00 +0000 2018,63,@CBSNews,2018-04-10 14:53:00+00:00,2018-04-10,0
163,63,-0.296,0.145,0.855,0.0,Tue Apr 10 14:40:01 +0000 2018,64,@CBSNews,2018-04-10 14:40:01+00:00,2018-04-10,0
164,64,0.0,0.11,0.78,0.11,Tue Apr 10 14:37:51 +0000 2018,65,@CBSNews,2018-04-10 14:37:51+00:00,2018-04-10,0
165,65,-0.1027,0.06,0.94,0.0,Tue Apr 10 14:37:48 +0000 2018,66,@CBSNews,2018-04-10 14:37:48+00:00,2018-04-10,0
